trial_num	cue_type	target_identity	target_category	choices	target_presence	response	response_correct	response_rt	trial_time	pre_cue	notsure	target_stim	timing1	actual_timing1	positions	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	aa	bb	cc	dd	ee	ff	gg	hh	ii	jj	kk	ll	mm	nn	oo	pp
41	precue	woods	scene	"['a', 'b']"	present	absent	0	0.865030423	6.548395979	['woods']	['absent']	['woods']	0.9	0.915022989	"[(0, 0)]"	['chair_10']	['absent']	['chair_10']	0.1	0.116655382	"[(0, 0)]"	['desert_56']	['absent']	['desert_56']	0.1	0.11663896	"[(0, 0)]"	['shoe_20']	['absent']	['shoe_20']	0.1	0.116666818	"[(0, 0)]"	['woods_15']	['absent']	['woods_15']	0.1	0.116655382	"[(0, 0)]"	['coast_11']	['absent']	['coast_11']	0.1	0.100034398	"[(0, 0)]"	['flower_20']	['absent']	['flower_20']	0.1	0.116653622	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.900013401	"[(0, 0)]"
42	postcue	flower	object	"['a', 'b']"	present	present	1	0.683800443	6.548020036	[False]	['present']	[False]	0.9	0.914681649	"[(0, 0)]"	['bathroom_66']	['present']	['bathroom_66']	0.1	0.116616966	"[(0, 0)]"	['car_45']	['present']	['car_45']	0.1	0.100031465	"[(0, 0)]"	['desert_34']	['present']	['desert_34']	0.1	0.116620192	"[(0, 0)]"	['flower_27']	['present']	['flower_27']	0.1	0.116640426	"[(0, 0)]"	['chair_29']	['present']	['chair_29']	0.1	0.116650103	"[(0, 0)]"	['woods_50']	['present']	['woods_50']	0.1	0.116652156	"[(0, 0)]"	['flower']	['present']	['flower']	0.9	0.900025425	"[(0, 0)]"
43	postcue	woods	scene	"['a', 'b']"	absent	absent	1	0.85029121	6.581619765	[False]	['absent']	[False]	0.9	0.914907743	"[(0, 0)]"	['coast_58']	['absent']	['coast_58']	0.1	0.116664472	"[(0, 0)]"	['flower_36']	['absent']	['flower_36']	0.1	0.116655968	"[(0, 0)]"	['chair_80']	['absent']	['chair_80']	0.1	0.116635147	"[(0, 0)]"	['desert_45']	['absent']	['desert_45']	0.1	0.116655088	"[(0, 0)]"	['bathroom_57']	['absent']	['bathroom_57']	0.1	0.116654209	"[(0, 0)]"	['shoe_18']	['absent']	['shoe_18']	0.1	0.116647171	"[(0, 0)]"	['woods']	['absent']	['woods']	0.9	0.900030996	"[(0, 0)]"
44	precue	desert	scene	"['a', 'b']"	present	present	1	0.696555249	6.564952448	['desert']	['present']	['desert']	0.9	0.91501038	"[(0, 0)]"	['car_43']	['present']	['car_43']	0.1	0.116667698	"[(0, 0)]"	['woods_4']	['present']	['woods_4']	0.1	0.116642185	"[(0, 0)]"	['flower_77']	['present']	['flower_77']	0.1	0.116658021	"[(0, 0)]"	['shoe_24']	['present']	['shoe_24']	0.1	0.116656848	"[(0, 0)]"	['desert_26']	['present']	['desert_26']	0.1	0.116651569	"[(0, 0)]"	['bathroom_46']	['present']	['bathroom_46']	0.1	0.100033518	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.900043019	"[(0, 0)]"
45	precue	car	object	"['a', 'b']"	present	present	1	0.672076108	6.548348473	['car']	['present']	['car']	0.9	0.914907156	"[(0, 0)]"	['bathroom_54']	['present']	['bathroom_54']	0.1	0.11664981	"[(0, 0)]"	['car_47']	['present']	['car_47']	0.1	0.116661246	"[(0, 0)]"	['coast_7']	['present']	['coast_7']	0.1	0.116649517	"[(0, 0)]"	['flower_59']	['present']	['flower_59']	0.1	0.100010352	"[(0, 0)]"	['woods_44']	['present']	['woods_44']	0.1	0.116619312	"[(0, 0)]"	['chair_3']	['present']	['chair_3']	0.1	0.116645704	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916578081	"[(0, 0)]"
46	nocue	FALSE	FALSE	"['a', 'b']"	absent	present	0	0.709006544	6.531604619	[False]	['present']	[False]	0.9	0.914899825	"[(0, 0)]"	['bathroom_50']	['present']	['bathroom_50']	0.1	0.100045248	"[(0, 0)]"	['chair_49']	['present']	['chair_49']	0.1	0.116639839	"[(0, 0)]"	['shoe_49']	['present']	['shoe_49']	0.1	0.100071054	"[(0, 0)]"	['desert_53']	['present']	['desert_53']	0.1	0.116594973	"[(0, 0)]"	['woods_34']	['present']	['woods_34']	0.1	0.116566234	"[(0, 0)]"	['car_14']	['present']	['car_14']	0.1	0.100110642	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916662537	"[(0, 0)]"
47	postcue	chair	object	"['a', 'b']"	absent	absent	1	0.655243107	6.564944531	[False]	['absent']	[False]	0.9	0.914864342	"[(0, 0)]"	['shoe_28']	['absent']	['shoe_28']	0.1	0.10009686	"[(0, 0)]"	['bathroom_35']	['absent']	['bathroom_35']	0.1	0.116609928	"[(0, 0)]"	['woods_15']	['absent']	['woods_15']	0.1	0.116585589	"[(0, 0)]"	['coast_17']	['absent']	['coast_17']	0.1	0.116649517	"[(0, 0)]"	['flower_7']	['absent']	['flower_7']	0.1	0.100008299	"[(0, 0)]"	['car_45']	['absent']	['car_45']	0.1	0.116627523	"[(0, 0)]"	['chair']	['absent']	['chair']	0.9	0.916642596	"[(0, 0)]"
48	doublecue	"('chair', 'coast')"	"('object', 'scene')"	"['a', 'b']"	"('present', 'present')"	absent	0	1.820748562	6.548368414	['chair']	['absent']	['chair']	0.9	0.914938827	"[(0, 0)]"	['bathroom_16']	['absent']	['bathroom_16']	0.1	0.116575032	"[(0, 0)]"	['woods_6']	['absent']	['woods_6']	0.1	0.116653329	"[(0, 0)]"	['chair_2']	['absent']	['chair_2']	0.1	0.116658607	"[(0, 0)]"	['flower_17']	['absent']	['flower_17']	0.1	0.116666525	"[(0, 0)]"	['coast_12']	['absent']	['coast_12']	0.1	0.116642185	"[(0, 0)]"	['shoe_50']	['absent']	['shoe_50']	0.1	0.116653915	"[(0, 0)]"	['coast']	['absent']	['coast']	0.9	0.900032756	"[(0, 0)]"
49	nocue	FALSE	FALSE	"['a', 'b']"	absent	absent	1	0.639448495	6.564963592	[False]	['absent']	[False]	0.9	0.914867275	"[(0, 0)]"	['bathroom_59']	['absent']	['bathroom_59']	0.1	0.116652156	"[(0, 0)]"	['car_60']	['absent']	['car_60']	0.1	0.116667405	"[(0, 0)]"	['desert_10']	['absent']	['desert_10']	0.1	0.11665069	"[(0, 0)]"	['flower_55']	['absent']	['flower_55']	0.1	0.116645704	"[(0, 0)]"	['chair_29']	['absent']	['chair_29']	0.1	0.116666525	"[(0, 0)]"	['woods_65']	['absent']	['woods_65']	0.1	0.1166589	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916606233	"[(0, 0)]"
50	precue	desert	scene	"['a', 'b']"	present	absent	0	1.539864232	6.531588197	['desert']	['absent']	['desert']	0.9	0.914888975	"[(0, 0)]"	['bathroom_46']	['absent']	['bathroom_46']	0.1	0.100052579	"[(0, 0)]"	['chair_40']	['absent']	['chair_40']	0.1	0.100044075	"[(0, 0)]"	['shoe_27']	['absent']	['shoe_27']	0.1	0.116635147	"[(0, 0)]"	['desert_24']	['absent']	['desert_24']	0.1	0.100001554	"[(0, 0)]"	['woods_20']	['absent']	['woods_20']	0.1	0.116650983	"[(0, 0)]"	['car_38']	['absent']	['car_38']	0.1	0.116625764	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916639077	"[(0, 0)]"
51	postcue	bathroom	scene	"['a', 'b']"	absent	absent	1	0.905616191	6.548217098	[False]	['absent']	[False]	0.9	0.914795136	"[(0, 0)]"	['flower_27']	['absent']	['flower_27']	0.1	0.100091288	"[(0, 0)]"	['coast_47']	['absent']	['coast_47']	0.1	0.116655382	"[(0, 0)]"	['chair_22']	['absent']	['chair_22']	0.1	0.116655968	"[(0, 0)]"	['car_17']	['absent']	['car_17']	0.1	0.1165938	"[(0, 0)]"	['desert_43']	['absent']	['desert_43']	0.1	0.100044955	"[(0, 0)]"	['woods_58']	['absent']	['woods_58']	0.1	0.116647464	"[(0, 0)]"	['bathroom']	['absent']	['bathroom']	0.9	0.916635851	"[(0, 0)]"
52	postcue	chair	object	"['a', 'b']"	present	present	1	0.532724532	6.564960659	[False]	['present']	[False]	0.9	0.914905397	"[(0, 0)]"	['desert_40']	['present']	['desert_40']	0.1	0.100124718	"[(0, 0)]"	['flower_41']	['present']	['flower_41']	0.1	0.116606702	"[(0, 0)]"	['chair_3']	['present']	['chair_3']	0.1	0.100036744	"[(0, 0)]"	['woods_45']	['present']	['woods_45']	0.1	0.11666066	"[(0, 0)]"	['bathroom_19']	['present']	['bathroom_19']	0.1	0.116599664	"[(0, 0)]"	['shoe_31']	['present']	['shoe_31']	0.1	0.116658607	"[(0, 0)]"	['chair']	['present']	['chair']	0.9	0.916653739	"[(0, 0)]"
53	postcue	car	object	"['a', 'b']"	absent	absent	1	0.514779535	6.56484512	[False]	['absent']	[False]	0.9	0.914891028	"[(0, 0)]"	['coast_48']	['absent']	['coast_48']	0.1	0.100032052	"[(0, 0)]"	['shoe_39']	['absent']	['shoe_39']	0.1	0.116641306	"[(0, 0)]"	['chair_29']	['absent']	['chair_29']	0.1	0.116657728	"[(0, 0)]"	['desert_32']	['absent']	['desert_32']	0.1	0.116655382	"[(0, 0)]"	['flower_37']	['absent']	['flower_37']	0.1	0.116650103	"[(0, 0)]"	['bathroom_42']	['absent']	['bathroom_42']	0.1	0.116658314	"[(0, 0)]"	['car']	['absent']	['car']	0.9	0.916600368	"[(0, 0)]"
54	precue	shoe	object	"['a', 'b']"	absent	absent	1	0.54831387	6.548418266	['shoe']	['absent']	['shoe']	0.9	0.914968738	"[(0, 0)]"	['flower_65']	['absent']	['flower_65']	0.1	0.116638373	"[(0, 0)]"	['desert_40']	['absent']	['desert_40']	0.1	0.100056978	"[(0, 0)]"	['woods_20']	['absent']	['woods_20']	0.1	0.116604943	"[(0, 0)]"	['bathroom_17']	['absent']	['bathroom_17']	0.1	0.116668871	"[(0, 0)]"	['chair_16']	['absent']	['chair_16']	0.1	0.116649223	"[(0, 0)]"	['car_57']	['absent']	['car_57']	0.1	0.116659194	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916597729	"[(0, 0)]"
55	precue	bathroom	scene	"['a', 'b']"	present	present	1	0.512827385	6.564500847	['bathroom']	['present']	['bathroom']	0.9	0.914451156	"[(0, 0)]"	['flower_33']	['present']	['flower_33']	0.1	0.116633095	"[(0, 0)]"	['woods_9']	['present']	['woods_9']	0.1	0.100042609	"[(0, 0)]"	['coast_31']	['present']	['coast_31']	0.1	0.116648344	"[(0, 0)]"	['bathroom_46']	['present']	['bathroom_46']	0.1	0.11666154	"[(0, 0)]"	['car_22']	['present']	['car_22']	0.1	0.116610221	"[(0, 0)]"	['shoe_25']	['present']	['shoe_25']	0.1	0.116647757	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916532921	"[(0, 0)]"
56	precue	bathroom	scene	"['a', 'b']"	absent	absent	1	0.558449682	6.531579693	['bathroom']	['absent']	['bathroom']	0.9	0.914862289	"[(0, 0)]"	['flower_52']	['absent']	['flower_52']	0.1	0.100097153	"[(0, 0)]"	['coast_26']	['absent']	['coast_26']	0.1	0.116658314	"[(0, 0)]"	['chair_41']	['absent']	['chair_41']	0.1	0.116614034	"[(0, 0)]"	['car_14']	['absent']	['car_14']	0.1	0.10003909	"[(0, 0)]"	['desert_28']	['absent']	['desert_28']	0.1	0.116595852	"[(0, 0)]"	['woods_32']	['absent']	['woods_32']	0.1	0.100044662	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.900078502	"[(0, 0)]"
57	precue	woods	scene	"['a', 'b']"	absent	absent	1	0.528845452	6.581385754	['woods']	['absent']	['woods']	0.9	0.914670799	"[(0, 0)]"	['shoe_48']	['absent']	['shoe_48']	0.1	0.100068121	"[(0, 0)]"	['desert_32']	['absent']	['desert_32']	0.1	0.116607582	"[(0, 0)]"	['car_39']	['absent']	['car_39']	0.1	0.116644238	"[(0, 0)]"	['coast_20']	['absent']	['coast_20']	0.1	0.116662126	"[(0, 0)]"	['chair_52']	['absent']	['chair_52']	0.1	0.116654502	"[(0, 0)]"	['bathroom_50']	['absent']	['bathroom_50']	0.1	0.116659487	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916654326	"[(0, 0)]"
58	nocue	FALSE	FALSE	"['a', 'b']"	absent	present	0	0.719758176	6.564982653	[False]	['present']	[False]	0.9	0.914972257	"[(0, 0)]"	['desert_33']	['present']	['desert_33']	0.1	0.10013029	"[(0, 0)]"	['flower_44']	['present']	['flower_44']	0.1	0.116563302	"[(0, 0)]"	['chair_25']	['present']	['chair_25']	0.1	0.116646877	"[(0, 0)]"	['woods_43']	['present']	['woods_43']	0.1	0.11664893	"[(0, 0)]"	['bathroom_50']	['present']	['bathroom_50']	0.1	0.116658021	"[(0, 0)]"	['shoe_16']	['present']	['shoe_16']	0.1	0.116600837	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916662537	"[(0, 0)]"
59	postcue	flower	object	"['a', 'b']"	present	present	1	0.573494459	6.547978981	[False]	['present']	[False]	0.9	0.914662295	"[(0, 0)]"	['bathroom_25']	['present']	['bathroom_25']	0.1	0.100034984	"[(0, 0)]"	['chair_49']	['present']	['chair_49']	0.1	0.116536909	"[(0, 0)]"	['flower_52']	['present']	['flower_52']	0.1	0.116668284	"[(0, 0)]"	['shoe_16']	['present']	['shoe_16']	0.1	0.100029706	"[(0, 0)]"	['desert_6']	['present']	['desert_6']	0.1	0.116655088	"[(0, 0)]"	['woods_40']	['present']	['woods_40']	0.1	0.116654795	"[(0, 0)]"	['flower']	['present']	['flower']	0.9	0.900045072	"[(0, 0)]"
60	nocue	FALSE	FALSE	"['a', 'b']"	absent	absent	1	0.580994854	6.565084996	[False]	['absent']	[False]	0.9	0.915108617	"[(0, 0)]"	['coast_17']	['absent']	['coast_17']	0.1	0.116633095	"[(0, 0)]"	['flower_48']	['absent']	['flower_48']	0.1	0.116647464	"[(0, 0)]"	['chair_23']	['absent']	['chair_23']	0.1	0.116667698	"[(0, 0)]"	['car_54']	['absent']	['car_54']	0.1	0.100041436	"[(0, 0)]"	['bathroom_42']	['absent']	['bathroom_42']	0.1	0.116587641	"[(0, 0)]"	['woods_65']	['absent']	['woods_65']	0.1	0.100048767	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916539373	"[(0, 0)]"
61	precue	bathroom	scene	"['a', 'b']"	absent	absent	1	0.493597377	6.855544155	['bathroom']	['absent']	['bathroom']	0.9	0.905483643	"[(0, 0)]"	['shoe_11']	['absent']	['shoe_11']	0.1	0.419237691	"[(0, 0)]"	['desert_24']	['absent']	['desert_24']	0.1	0.114145768	"[(0, 0)]"	['coast_66']	['absent']	['coast_66']	0.1	0.116589108	"[(0, 0)]"	['woods_21']	['absent']	['woods_21']	0.1	0.10003997	"[(0, 0)]"	['car_18']	['absent']	['car_18']	0.1	0.116611101	"[(0, 0)]"	['flower_28']	['absent']	['flower_28']	0.1	0.116604356	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916654326	"[(0, 0)]"
62	doublecue	"('desert', 'car')"	"('scene', 'object')"	"['a', 'b']"	"('present', 'present')"	absent	0	0.583468692	6.581644105	['desert']	['absent']	['desert']	0.9	0.914913608	"[(0, 0)]"	['chair_2']	['absent']	['chair_2']	0.1	0.116642772	"[(0, 0)]"	['bathroom_36']	['absent']	['bathroom_36']	0.1	0.100047887	"[(0, 0)]"	['desert_2']	['absent']	['desert_2']	0.1	0.11660201	"[(0, 0)]"	['car_25']	['absent']	['car_25']	0.1	0.116654795	"[(0, 0)]"	['flower_9']	['absent']	['flower_9']	0.1	0.116656261	"[(0, 0)]"	['coast_6']	['absent']	['coast_6']	0.1	0.11664805	"[(0, 0)]"	['car']	['absent']	['car']	0.9	0.916657258	"[(0, 0)]"
63	precue	woods	scene	"['a', 'b']"	absent	absent	1	0.813012982	6.547956988	['woods']	['absent']	['woods']	0.9	0.914562884	"[(0, 0)]"	['coast_66']	['absent']	['coast_66']	0.1	0.100027067	"[(0, 0)]"	['chair_18']	['absent']	['chair_18']	0.1	0.100033518	"[(0, 0)]"	['desert_32']	['absent']	['desert_32']	0.1	0.116602304	"[(0, 0)]"	['shoe_7']	['absent']	['shoe_7']	0.1	0.116663006	"[(0, 0)]"	['flower_45']	['absent']	['flower_45']	0.1	0.116650103	"[(0, 0)]"	['bathroom_9']	['absent']	['bathroom_9']	0.1	0.116647464	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916603594	"[(0, 0)]"
64	nocue	FALSE	FALSE	"['a', 'b']"	absent	absent	1	0.645399076	6.548126778	[False]	['absent']	[False]	0.9	0.914738539	"[(0, 0)]"	['desert_43']	['absent']	['desert_43']	0.1	0.116645118	"[(0, 0)]"	['coast_28']	['absent']	['coast_28']	0.1	0.116622538	"[(0, 0)]"	['car_61']	['absent']	['car_61']	0.1	0.100036744	"[(0, 0)]"	['bathroom_20']	['absent']	['bathroom_20']	0.1	0.100047301	"[(0, 0)]"	['chair_43']	['absent']	['chair_43']	0.1	0.116583829	"[(0, 0)]"	['shoe_6']	['absent']	['shoe_6']	0.1	0.116651276	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916657552	"[(0, 0)]"
65	nocue	FALSE	FALSE	"['a', 'b']"	absent	present	0	0.624023082	6.547926197	[False]	['present']	[False]	0.9	0.914537958	"[(0, 0)]"	['car_43']	['present']	['car_43']	0.1	0.116540428	"[(0, 0)]"	['woods_68']	['present']	['woods_68']	0.1	0.100033811	"[(0, 0)]"	['flower_52']	['present']	['flower_52']	0.1	0.11666066	"[(0, 0)]"	['shoe_56']	['present']	['shoe_56']	0.1	0.11664981	"[(0, 0)]"	['desert_50']	['present']	['desert_50']	0.1	0.116662419	"[(0, 0)]"	['bathroom_47']	['present']	['bathroom_47']	0.1	0.116641306	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.900002845	"[(0, 0)]"
66	precue	coast	scene	"['a', 'b']"	present	present	1	0.705832725	6.564933094	['coast']	['present']	['coast']	0.9	0.914826806	"[(0, 0)]"	['flower_43']	['present']	['flower_43']	0.1	0.100081611	"[(0, 0)]"	['chair_12']	['present']	['chair_12']	0.1	0.116637787	"[(0, 0)]"	['shoe_56']	['present']	['shoe_56']	0.1	0.116598491	"[(0, 0)]"	['coast_57']	['present']	['coast_57']	0.1	0.116653329	"[(0, 0)]"	['woods_53']	['present']	['woods_53']	0.1	0.116644238	"[(0, 0)]"	['bathroom_31']	['present']	['bathroom_31']	0.1	0.116667111	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.90002953	"[(0, 0)]"
67	precue	flower	object	"['a', 'b']"	present	present	1	1.045586227	6.531659163	['flower']	['present']	['flower']	0.9	0.914894253	"[(0, 0)]"	['bathroom_23']	['present']	['bathroom_23']	0.1	0.116645704	"[(0, 0)]"	['chair_57']	['present']	['chair_57']	0.1	0.116651276	"[(0, 0)]"	['flower_48']	['present']	['flower_48']	0.1	0.116710512	"[(0, 0)]"	['shoe_65']	['present']	['shoe_65']	0.1	0.116592333	"[(0, 0)]"	['desert_26']	['present']	['desert_26']	0.1	0.100048474	"[(0, 0)]"	['woods_11']	['present']	['woods_11']	0.1	0.116603477	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916591278	"[(0, 0)]"
68	postcue	flower	object	"['a', 'b']"	absent	present	0	0.578391108	6.564826352	[False]	['present']	[False]	0.9	0.914831205	"[(0, 0)]"	['shoe_33']	['present']	['shoe_33']	0.1	0.100032932	"[(0, 0)]"	['chair_55']	['present']	['chair_55']	0.1	0.116570046	"[(0, 0)]"	['coast_18']	['present']	['coast_18']	0.1	0.100025601	"[(0, 0)]"	['woods_19']	['present']	['woods_19']	0.1	0.116823706	"[(0, 0)]"	['car_12']	['present']	['car_12']	0.1	0.116413159	"[(0, 0)]"	['bathroom_27']	['present']	['bathroom_27']	0.1	0.116656261	"[(0, 0)]"	['flower']	['present']	['flower']	0.9	0.916612685	"[(0, 0)]"
